"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","01-Oct-2023","1","148.06","0.00","5885.340","-","0.000"
"USEP","01-Oct-2023","2","148.01","0.00","5780.125","-","0.000"
"USEP","01-Oct-2023","3","148.00","0.00","5664.339","-","0.000"
"USEP","01-Oct-2023","4","140.44","0.00","5591.404","-","0.000"
"USEP","01-Oct-2023","5","131.07","0.00","5539.642","-","0.000"
"USEP","01-Oct-2023","6","131.03","0.00","5489.937","-","0.000"
"USEP","01-Oct-2023","7","128.52","0.00","5455.534","-","0.000"
"USEP","01-Oct-2023","8","128.18","0.00","5425.496","-","0.000"
"USEP","01-Oct-2023","9","126.43","0.00","5396.978","-","0.000"
"USEP","01-Oct-2023","10","126.32","0.00","5378.623","-","0.000"
"USEP","01-Oct-2023","11","126.23","0.00","5395.238","-","0.000"
"USEP","01-Oct-2023","12","126.45","0.00","5459.987","-","0.000"
"USEP","01-Oct-2023","13","126.39","0.00","5533.384","-","0.000"
"USEP","01-Oct-2023","14","126.49","0.00","5580.962","-","0.000"
"USEP","01-Oct-2023","15","126.35","0.00","5604.321","-","0.000"
"USEP","01-Oct-2023","16","126.48","0.00","5660.596","-","0.000"
"USEP","01-Oct-2023","17","126.50","0.00","5726.479","-","0.000"
"USEP","01-Oct-2023","18","126.38","0.00","5769.951","-","0.000"
"USEP","01-Oct-2023","19","124.80","0.00","5793.544","-","0.000"
"USEP","01-Oct-2023","20","112.62","0.00","5802.674","-","0.000"
"USEP","01-Oct-2023","21","108.58","0.00","5824.716","-","0.000"
"USEP","01-Oct-2023","22","108.58","0.00","5834.800","-","0.000"
"USEP","01-Oct-2023","23","109.22","0.00","5828.110","-","0.000"
"USEP","01-Oct-2023","24","106.96","0.00","5756.423","-","0.000"
"USEP","01-Oct-2023","25","106.56","0.00","5737.517","-","0.000"
"USEP","01-Oct-2023","26","108.60","0.00","5811.436","-","0.000"
"USEP","01-Oct-2023","27","108.66","0.00","5833.657","-","0.000"
"USEP","01-Oct-2023","28","106.86","0.00","5841.330","-","0.000"
"USEP","01-Oct-2023","29","108.61","0.00","5866.265","-","0.000"
"USEP","01-Oct-2023","30","114.84","0.00","5898.177","-","0.000"
"USEP","01-Oct-2023","31","117.87","0.00","5924.966","-","0.000"
"USEP","01-Oct-2023","32","126.63","0.00","6011.796","-","0.000"
"USEP","01-Oct-2023","33","126.63","0.00","6006.479","-","0.000"
"USEP","01-Oct-2023","34","128.55","0.00","6059.171","-","0.000"
"USEP","01-Oct-2023","35","147.90","0.00","6212.490","-","0.000"
"USEP","01-Oct-2023","36","173.22","0.00","6338.132","-","0.000"
"USEP","01-Oct-2023","37","173.23","0.00","6390.600","-","0.000"
"USEP","01-Oct-2023","38","183.71","0.00","6444.982","-","0.000"
"USEP","01-Oct-2023","39","245.36","0.00","6488.862","-","0.000"
"USEP","01-Oct-2023","40","254.58","0.00","6518.468","-","0.000"
"USEP","01-Oct-2023","41","259.00","0.00","6539.775","-","0.000"
"USEP","01-Oct-2023","42","267.04","0.00","6542.513","-","0.000"
"USEP","01-Oct-2023","43","245.48","0.00","6514.075","-","0.000"
"USEP","01-Oct-2023","44","245.39","0.00","6441.587","-","0.000"
"USEP","01-Oct-2023","45","207.80","0.00","6341.521","-","0.000"
"USEP","01-Oct-2023","46","201.97","0.00","6251.763","-","0.000"
"USEP","01-Oct-2023","47","173.19","0.00","6136.921","-","0.000"
"USEP","01-Oct-2023","48","173.19","0.00","6056.189","-","0.000"
"USEP","02-Oct-2023","1","206.99","0.00","6037.894","-","0.000"
"USEP","02-Oct-2023","2","206.65","0.00","5973.363","-","0.000"
"USEP","02-Oct-2023","3","194.96","0.00","5798.231","-","0.000"
"USEP","02-Oct-2023","4","167.41","0.00","5667.649","-","0.000"
"USEP","02-Oct-2023","5","164.05","0.00","5631.830","-","0.000"
"USEP","02-Oct-2023","6","162.94","0.00","5589.858","-","0.000"
"USEP","02-Oct-2023","7","148.12","0.00","5549.929","-","0.000"
"USEP","02-Oct-2023","8","147.97","0.00","5518.971","-","0.000"
"USEP","02-Oct-2023","9","140.16","0.00","5506.188","-","0.000"
"USEP","02-Oct-2023","10","138.63","0.00","5522.321","-","0.000"
"USEP","02-Oct-2023","11","150.60","0.00","5612.561","-","0.000"
"USEP","02-Oct-2023","12","173.30","0.00","5773.386","-","0.000"
"USEP","02-Oct-2023","13","173.35","0.00","5954.095","-","0.000"
"USEP","02-Oct-2023","14","181.51","0.00","6108.214","-","0.000"
"USEP","02-Oct-2023","15","193.57","0.00","6278.745","-","0.000"
"USEP","02-Oct-2023","16","273.13","0.00","6489.264","-","0.000"
"USEP","02-Oct-2023","17","245.44","0.00","6670.515","-","0.000"
"USEP","02-Oct-2023","18","295.60","0.00","6748.514","-","0.000"
"USEP","02-Oct-2023","19","248.49","0.00","6775.715","-","0.000"
"USEP","02-Oct-2023","20","273.17","0.00","6794.134","-","0.000"
"USEP","02-Oct-2023","21","273.23","0.00","6808.895","-","0.000"
"USEP","02-Oct-2023","22","259.09","0.00","6791.788","-","0.000"
"USEP","02-Oct-2023","23","245.65","0.00","6737.615","-","0.000"
"USEP","02-Oct-2023","24","202.07","0.00","6682.796","-","0.000"
"USEP","02-Oct-2023","25","173.87","0.00","6656.281","-","0.000"
"USEP","02-Oct-2023","26","202.55","0.00","6685.733","-","0.000"
"USEP","02-Oct-2023","27","273.50","0.00","6764.677","-","0.000"
"USEP","02-Oct-2023","28","294.50","0.00","6827.642","-","0.000"
"USEP","02-Oct-2023","29","294.52","0.00","6870.821","-","0.000"
"USEP","02-Oct-2023","30","365.55","0.00","6889.851","-","0.000"
"USEP","02-Oct-2023","31","390.20","0.00","6924.646","-","0.000"
"USEP","02-Oct-2023","32","365.97","0.00","7018.818","-","0.000"
"USEP","02-Oct-2023","33","453.15","839.30","7097.928","-","12.000"
"USEP","02-Oct-2023","34","531.28","4500.00","7154.187","-","13.800"
"USEP","02-Oct-2023","35","545.75","4500.00","7161.478","-","13.800"
"USEP","02-Oct-2023","36","488.78","4500.00","7116.327","-","12.000"
"USEP","02-Oct-2023","37","458.72","4500.00","7098.410","-","7.000"
"USEP","02-Oct-2023","38","463.19","4500.00","7105.825","-","7.000"
"USEP","02-Oct-2023","39","457.50","0.00","7098.079","-","0.000"
"USEP","02-Oct-2023","40","454.19","0.00","7085.341","-","0.000"
"USEP","02-Oct-2023","41","417.57","0.00","7053.508","-","0.000"
"USEP","02-Oct-2023","42","421.00","0.00","7016.273","-","0.000"
"USEP","02-Oct-2023","43","373.06","0.00","6947.856","-","0.000"
"USEP","02-Oct-2023","44","273.29","0.00","6832.617","-","0.000"
"USEP","02-Oct-2023","45","202.23","0.00","6694.048","-","0.000"
"USEP","02-Oct-2023","46","173.35","0.00","6558.730","-","0.000"
"USEP","02-Oct-2023","47","199.26","0.00","6422.930","-","0.000"
"USEP","02-Oct-2023","48","196.54","0.00","6260.699","-","0.000"
"USEP","03-Oct-2023","1","202.14","0.00","6081.938","-","0.000"
"USEP","03-Oct-2023","2","199.20","0.00","5949.965","-","0.000"
"USEP","03-Oct-2023","3","226.94","0.00","5873.099","-","0.000"
"USEP","03-Oct-2023","4","181.58","0.00","5808.091","-","0.000"
"USEP","03-Oct-2023","5","173.49","0.00","5770.493","-","0.000"
"USEP","03-Oct-2023","6","149.16","0.00","5724.600","-","0.000"
"USEP","03-Oct-2023","7","143.54","0.00","5684.467","-","0.000"
"USEP","03-Oct-2023","8","136.56","0.00","5657.609","-","0.000"
"USEP","03-Oct-2023","9","136.57","0.00","5643.882","-","0.000"
"USEP","03-Oct-2023","10","135.45","0.00","5676.953","-","0.000"
"USEP","03-Oct-2023","11","148.14","0.00","5775.393","-","0.000"
"USEP","03-Oct-2023","12","236.22","0.00","5951.322","-","0.000"
"USEP","03-Oct-2023","13","212.72","0.00","6141.379","-","0.000"
"USEP","03-Oct-2023","14","206.92","0.00","6298.650","-","0.000"
"USEP","03-Oct-2023","15","207.69","0.00","6445.489","-","0.000"
"USEP","03-Oct-2023","16","294.08","0.00","6631.387","-","0.000"
"USEP","03-Oct-2023","17","372.66","0.00","6780.387","-","0.000"
"USEP","03-Oct-2023","18","380.79","0.00","6851.021","-","0.000"
"USEP","03-Oct-2023","19","365.19","0.00","6871.234","-","0.000"
"USEP","03-Oct-2023","20","365.83","1304.00","6850.139","-","12.000"
"USEP","03-Oct-2023","21","365.90","3721.27","6869.613","-","5.000"
"USEP","03-Oct-2023","22","395.14","0.00","6898.082","-","0.000"
"USEP","03-Oct-2023","23","422.42","0.00","6923.483","-","0.000"
"USEP","03-Oct-2023","24","410.79","0.00","6901.576","-","0.000"
"USEP","03-Oct-2023","25","286.02","0.00","6843.869","-","0.000"
"USEP","03-Oct-2023","26","245.49","0.00","6759.021","-","0.000"
"USEP","03-Oct-2023","27","273.52","0.00","6817.225","-","0.000"
"USEP","03-Oct-2023","28","302.64","0.00","6961.211","-","0.000"
"USEP","03-Oct-2023","29","289.74","0.00","6947.290","-","0.000"
"USEP","03-Oct-2023","30","245.44","0.00","6872.461","-","0.000"
"USEP","03-Oct-2023","31","245.46","0.00","6894.235","-","0.000"
"USEP","03-Oct-2023","32","274.20","0.00","6942.901","-","0.000"
"USEP","03-Oct-2023","33","289.68","857.41","7023.726","-","12.000"
"USEP","03-Oct-2023","34","291.45","593.76","7044.166","-","12.026"
"USEP","03-Oct-2023","35","274.46","0.00","7030.189","-","0.000"
"USEP","03-Oct-2023","36","245.47","0.00","6983.486","-","0.000"
"USEP","03-Oct-2023","37","206.67","0.00","6928.175","-","0.000"
"USEP","03-Oct-2023","38","202.22","0.00","6922.375","-","0.000"
"USEP","03-Oct-2023","39","202.36","0.00","6932.877","-","0.000"
"USEP","03-Oct-2023","40","206.88","0.00","6929.204","-","0.000"
"USEP","03-Oct-2023","41","188.15","0.00","6906.451","-","0.000"
"USEP","03-Oct-2023","42","185.21","0.00","6857.914","-","0.000"
"USEP","03-Oct-2023","43","178.78","0.00","6790.183","-","0.000"
"USEP","03-Oct-2023","44","162.98","0.00","6675.585","-","0.000"
"USEP","03-Oct-2023","45","148.31","0.00","6543.915","-","0.000"
"USEP","03-Oct-2023","46","146.92","0.00","6419.545","-","0.000"
"USEP","03-Oct-2023","47","141.62","0.00","6280.206","-","0.000"
"USEP","03-Oct-2023","48","136.80","0.00","6091.635","-","0.000"
"USEP","04-Oct-2023","1","136.63","0.00","5894.415","-","0.000"
"USEP","04-Oct-2023","2","132.43","0.00","5753.888","-","0.000"
"USEP","04-Oct-2023","3","132.69","0.00","5701.440","-","0.000"
"USEP","04-Oct-2023","4","132.42","0.00","5658.534","-","0.000"
"USEP","04-Oct-2023","5","132.39","0.00","5624.797","-","0.000"
"USEP","04-Oct-2023","6","131.77","0.00","5588.765","-","0.000"
"USEP","04-Oct-2023","7","126.43","0.00","5556.579","-","0.000"
"USEP","04-Oct-2023","8","126.33","0.00","5535.815","-","0.000"
"USEP","04-Oct-2023","9","126.26","0.00","5531.620","-","0.000"
"USEP","04-Oct-2023","10","126.36","0.00","5549.234","-","0.000"
"USEP","04-Oct-2023","11","131.78","0.00","5632.928","-","0.000"
"USEP","04-Oct-2023","12","137.36","0.00","5782.938","-","0.000"
"USEP","04-Oct-2023","13","147.98","0.00","5974.492","-","0.000"
"USEP","04-Oct-2023","14","173.07","0.00","6135.718","-","0.000"
"USEP","04-Oct-2023","15","173.21","0.00","6297.263","-","0.000"
"USEP","04-Oct-2023","16","191.49","0.00","6497.833","-","0.000"
"USEP","04-Oct-2023","17","167.40","0.00","6661.028","-","0.000"
"USEP","04-Oct-2023","18","148.20","0.00","6742.844","-","0.000"
"USEP","04-Oct-2023","19","136.80","0.00","6765.209","-","0.000"
"USEP","04-Oct-2023","20","137.34","0.00","6803.513","-","0.000"
"USEP","04-Oct-2023","21","136.92","0.00","6833.367","-","0.000"
"USEP","04-Oct-2023","22","136.92","0.00","6826.394","-","0.000"
"USEP","04-Oct-2023","23","136.81","0.00","6799.015","-","0.000"
"USEP","04-Oct-2023","24","134.88","0.00","6725.111","-","0.000"
"USEP","04-Oct-2023","25","134.77","0.00","6673.368","-","0.000"
"USEP","04-Oct-2023","26","136.62","0.00","6720.444","-","0.000"
"USEP","04-Oct-2023","27","136.82","0.00","6738.425","-","0.000"
"USEP","04-Oct-2023","28","136.91","0.00","6776.635","-","0.000"
"USEP","04-Oct-2023","29","148.25","0.00","6864.629","-","0.000"
"USEP","04-Oct-2023","30","167.39","0.00","6892.620","-","0.000"
"USEP","04-Oct-2023","31","167.40","0.00","6882.029","-","0.000"
"USEP","04-Oct-2023","32","173.33","0.00","6954.158","-","0.000"
"USEP","04-Oct-2023","33","274.26","0.00","7077.777","-","0.000"
"USEP","04-Oct-2023","34","365.61","0.00","7132.994","-","0.000"
"USEP","04-Oct-2023","35","245.71","0.00","7085.600","-","0.000"
"USEP","04-Oct-2023","36","245.69","0.00","7082.180","-","0.000"
"USEP","04-Oct-2023","37","245.70","0.00","7069.885","-","0.000"
"USEP","04-Oct-2023","38","274.62","0.00","7084.079","-","0.000"
"USEP","04-Oct-2023","39","274.65","0.00","7093.815","-","0.000"
"USEP","04-Oct-2023","40","365.71","0.00","7089.616","-","0.000"
"USEP","04-Oct-2023","41","301.79","0.00","7059.865","-","0.000"
"USEP","04-Oct-2023","42","369.85","0.00","7026.869","-","0.000"
"USEP","04-Oct-2023","43","294.75","0.00","6970.584","-","0.000"
"USEP","04-Oct-2023","44","245.69","0.00","6867.621","-","0.000"
"USEP","04-Oct-2023","45","273.24","0.00","6739.906","-","0.000"
"USEP","04-Oct-2023","46","216.18","0.00","6607.376","-","0.000"
"USEP","04-Oct-2023","47","199.18","0.00","6463.132","-","0.000"
"USEP","04-Oct-2023","48","155.24","0.00","6232.425","-","0.000"
"USEP","05-Oct-2023","1","202.07","0.00","5997.215","-","0.000"
"USEP","05-Oct-2023","2","173.09","0.00","5861.812","-","0.000"
"USEP","05-Oct-2023","3","191.64","0.00","5840.018","-","0.000"
"USEP","05-Oct-2023","4","183.29","0.00","5792.356","-","0.000"
"USEP","05-Oct-2023","5","183.09","0.00","5760.980","-","0.000"
"USEP","05-Oct-2023","6","173.45","0.00","5715.540","-","0.000"
"USEP","05-Oct-2023","7","167.77","0.00","5662.311","-","0.000"
"USEP","05-Oct-2023","8","162.91","0.00","5618.486","-","0.000"
"USEP","05-Oct-2023","9","157.18","0.00","5608.983","-","0.000"
"USEP","05-Oct-2023","10","164.38","0.00","5639.265","-","0.000"
"USEP","05-Oct-2023","11","181.51","0.00","5731.966","-","0.000"
"USEP","05-Oct-2023","12","214.58","0.00","5894.370","-","0.000"
"USEP","05-Oct-2023","13","230.84","0.00","6073.454","-","0.000"
"USEP","05-Oct-2023","14","273.03","0.00","6230.447","-","0.000"
"USEP","05-Oct-2023","15","294.11","0.00","6389.646","-","0.000"
"USEP","05-Oct-2023","16","422.52","0.00","6573.735","-","0.000"
"USEP","05-Oct-2023","17","520.53","0.00","6745.741","-","0.000"
"USEP","05-Oct-2023","18","446.81","2292.48","6818.918","-","11.000"
"USEP","05-Oct-2023","19","390.85","4500.00","6836.477","-","11.000"
"USEP","05-Oct-2023","20","411.29","424.44","6843.002","-","12.000"
"USEP","05-Oct-2023","21","375.70","4500.00","6849.582","-","12.000"
"USEP","05-Oct-2023","22","373.61","0.00","6837.865","-","0.000"
"USEP","05-Oct-2023","23","317.10","0.00","6761.546","-","0.000"
"USEP","05-Oct-2023","24","273.55","0.00","6700.842","-","0.000"
"USEP","05-Oct-2023","25","273.52","0.00","6689.332","-","0.000"
"USEP","05-Oct-2023","26","294.53","0.00","6727.099","-","0.000"
"USEP","05-Oct-2023","27","274.96","0.00","6744.976","-","0.000"
"USEP","05-Oct-2023","28","294.65","0.00","6799.820","-","0.000"
"USEP","05-Oct-2023","29","206.98","0.00","6890.562","-","0.000"
"USEP","05-Oct-2023","30","273.38","0.00","6932.052","-","0.000"
"USEP","05-Oct-2023","31","279.11","0.00","6973.352","-","0.000"
"USEP","05-Oct-2023","32","294.47","4.40","6985.424","-","10.000"
"USEP","05-Oct-2023","33","366.19","99.30","7050.263","-","10.000"
"USEP","05-Oct-2023","34","411.31","465.27","7092.841","-","10.000"
"USEP","05-Oct-2023","35","422.97","4500.00","7114.500","-","10.000"
"USEP","05-Oct-2023","36","458.02","0.00","7123.769","-","0.000"
"USEP","05-Oct-2023","37","483.71","0.00","7120.106","-","0.000"
"USEP","05-Oct-2023","38","3347.38","0.00","7146.269","-","0.000"
"USEP","05-Oct-2023","39","517.83","0.00","7147.924","-","0.000"
"USEP","05-Oct-2023","40","489.32","0.00","7124.584","-","0.000"
"USEP","05-Oct-2023","41","422.95","0.00","7101.668","-","0.000"
"USEP","05-Oct-2023","42","410.96","0.00","7063.786","-","0.000"
"USEP","05-Oct-2023","43","365.47","0.00","7003.287","-","0.000"
"USEP","05-Oct-2023","44","365.91","0.00","6886.462","-","0.000"
"USEP","05-Oct-2023","45","365.20","0.00","6761.203","-","0.000"
"USEP","05-Oct-2023","46","274.44","0.00","6620.756","-","0.000"
"USEP","05-Oct-2023","47","365.78","0.00","6484.319","-","0.000"
"USEP","05-Oct-2023","48","245.43","0.00","6320.399","-","0.000"
"USEP","06-Oct-2023","1","282.11","0.00","6134.327","-","0.000"
"USEP","06-Oct-2023","2","230.54","0.00","6010.445","-","0.000"
"USEP","06-Oct-2023","3","228.31","0.00","5932.371","-","0.000"
"USEP","06-Oct-2023","4","209.98","0.00","5885.862","-","0.000"
"USEP","06-Oct-2023","5","209.17","0.00","5842.339","-","0.000"
"USEP","06-Oct-2023","6","202.71","0.00","5791.556","-","0.000"
"USEP","06-Oct-2023","7","201.82","0.00","5741.945","-","0.000"
"USEP","06-Oct-2023","8","199.12","0.00","5699.492","-","0.000"
"USEP","06-Oct-2023","9","198.29","0.00","5694.169","-","0.000"
"USEP","06-Oct-2023","10","201.82","0.00","5741.140","-","0.000"
"USEP","06-Oct-2023","11","202.70","0.00","5814.796","-","0.000"
"USEP","06-Oct-2023","12","228.97","0.00","5979.193","-","0.000"
"USEP","06-Oct-2023","13","306.53","0.00","6170.419","-","0.000"
"USEP","06-Oct-2023","14","302.45","0.00","6312.188","-","0.000"
"USEP","06-Oct-2023","15","274.32","0.00","6431.165","-","0.000"
"USEP","06-Oct-2023","16","289.72","0.00","6606.323","-","0.000"
"USEP","06-Oct-2023","17","219.07","0.00","6784.512","-","0.000"
"USEP","06-Oct-2023","18","177.05","0.00","6888.813","-","0.000"
"USEP","06-Oct-2023","19","168.68","0.00","6956.096","-","0.000"
"USEP","06-Oct-2023","20","169.69","0.00","6986.980","-","0.000"
"USEP","06-Oct-2023","21","174.05","0.00","6993.396","-","0.000"
"USEP","06-Oct-2023","22","148.40","0.00","6915.293","-","0.000"
"USEP","06-Oct-2023","23","142.04","0.00","6840.052","-","0.000"
"USEP","06-Oct-2023","24","135.88","0.00","6758.246","-","0.000"
"USEP","06-Oct-2023","25","135.69","0.00","6721.821","-","0.000"
"USEP","06-Oct-2023","26","141.50","0.00","6753.897","-","0.000"
"USEP","06-Oct-2023","27","146.69","0.00","6784.219","-","0.000"
"USEP","06-Oct-2023","28","168.46","0.00","6828.069","-","0.000"
"USEP","06-Oct-2023","29","176.34","0.00","6890.686","-","0.000"
"USEP","06-Oct-2023","30","206.73","0.00","6959.531","-","0.000"
"USEP","06-Oct-2023","31","219.06","0.00","7004.455","-","0.000"
"USEP","06-Oct-2023","32","269.64","0.00","7046.963","-","0.000"
"USEP","06-Oct-2023","33","218.92","0.00","7087.866","-","0.000"
"USEP","06-Oct-2023","34","273.50","0.00","7131.453","-","0.000"
"USEP","06-Oct-2023","35","338.07","0.00","7157.610","-","0.000"
"USEP","06-Oct-2023","36","195.45","0.00","7100.997","-","0.000"
"USEP","06-Oct-2023","37","202.65","0.00","7106.638","-","0.000"
"USEP","06-Oct-2023","38","207.46","0.00","7129.803","-","0.000"
"USEP","06-Oct-2023","39","249.20","0.00","7147.347","-","0.000"
"USEP","06-Oct-2023","40","221.24","0.00","7133.754","-","0.000"
"USEP","06-Oct-2023","41","205.27","0.00","7111.752","-","0.000"
"USEP","06-Oct-2023","42","277.46","0.00","7058.831","-","0.000"
"USEP","06-Oct-2023","43","192.26","0.00","6979.838","-","0.000"
"USEP","06-Oct-2023","44","192.98","0.00","6844.192","-","0.000"
"USEP","06-Oct-2023","45","202.26","0.00","6700.564","-","0.000"
"USEP","06-Oct-2023","46","226.48","0.00","6592.009","-","0.000"
"USEP","06-Oct-2023","47","232.30","0.00","6476.566","-","0.000"
"USEP","06-Oct-2023","48","273.07","0.00","6367.117","-","0.000"
"USEP","07-Oct-2023","1","228.72","0.00","6250.878","-","0.000"
"USEP","07-Oct-2023","2","228.20","0.00","6147.264","-","0.000"
"USEP","07-Oct-2023","3","201.91","0.00","6035.265","-","0.000"
"USEP","07-Oct-2023","4","201.73","0.00","5954.875","-","0.000"
"USEP","07-Oct-2023","5","201.72","0.00","5912.372","-","0.000"
"USEP","07-Oct-2023","6","189.84","0.00","5852.533","-","0.000"
"USEP","07-Oct-2023","7","181.41","0.00","5809.935","-","0.000"
"USEP","07-Oct-2023","8","175.17","0.00","5762.293","-","0.000"
"USEP","07-Oct-2023","9","171.06","0.00","5743.521","-","0.000"
"USEP","07-Oct-2023","10","173.03","0.00","5767.173","-","0.000"
"USEP","07-Oct-2023","11","198.17","0.00","5782.550","-","0.000"
"USEP","07-Oct-2023","12","201.87","0.00","5845.669","-","0.000"
"USEP","07-Oct-2023","13","201.92","0.00","5907.551","-","0.000"
"USEP","07-Oct-2023","14","228.01","0.00","5973.627","-","0.000"
"USEP","07-Oct-2023","15","219.08","0.00","6049.897","-","0.000"
"USEP","07-Oct-2023","16","220.29","0.00","6164.962","-","0.000"
"USEP","07-Oct-2023","17","219.08","0.00","6288.153","-","0.000"
"USEP","07-Oct-2023","18","220.30","0.00","6353.663","-","0.000"
"USEP","07-Oct-2023","19","196.57","0.00","6389.909","-","0.000"
"USEP","07-Oct-2023","20","202.13","0.00","6437.979","-","0.000"
"USEP","07-Oct-2023","21","220.32","0.00","6487.654","-","0.000"
"USEP","07-Oct-2023","22","209.87","0.00","6469.046","-","0.000"
"USEP","07-Oct-2023","23","152.34","0.00","6349.513","-","0.000"
"USEP","07-Oct-2023","24","133.78","0.00","6224.781","-","0.000"
"USEP","07-Oct-2023","25","133.46","0.00","6130.813","-","0.000"
"USEP","07-Oct-2023","26","131.41","0.00","6122.747","-","0.000"
"USEP","07-Oct-2023","27","135.61","0.00","6194.012","-","0.000"
"USEP","07-Oct-2023","28","143.83","0.00","6255.138","-","0.000"
"USEP","07-Oct-2023","29","145.10","0.00","6257.782","-","0.000"
"USEP","07-Oct-2023","30","135.84","0.00","6213.529","-","0.000"
"USEP","07-Oct-2023","31","140.92","0.00","6234.954","-","0.000"
"USEP","07-Oct-2023","32","158.91","0.00","6323.261","-","0.000"
"USEP","07-Oct-2023","33","173.30","0.00","6396.743","-","0.000"
"USEP","07-Oct-2023","34","219.08","0.00","6457.635","-","0.000"
"USEP","07-Oct-2023","35","269.42","0.00","6530.277","-","0.000"
"USEP","07-Oct-2023","36","273.22","0.00","6558.044","-","0.000"
"USEP","07-Oct-2023","37","294.33","0.00","6595.896","-","0.000"
"USEP","07-Oct-2023","38","294.38","0.00","6647.295","-","0.000"
"USEP","07-Oct-2023","39","367.05","0.00","6704.843","-","0.000"
"USEP","07-Oct-2023","40","410.92","0.00","6753.465","-","0.000"
"USEP","07-Oct-2023","41","457.69","0.00","6771.496","-","0.000"
"USEP","07-Oct-2023","42","488.97","0.00","6786.053","-","0.000"
"USEP","07-Oct-2023","43","441.42","0.00","6758.141","-","0.000"
"USEP","07-Oct-2023","44","372.96","0.00","6690.877","-","0.000"
"USEP","07-Oct-2023","45","274.26","0.00","6581.423","-","0.000"
"USEP","07-Oct-2023","46","272.60","0.00","6485.010","-","0.000"
"USEP","07-Oct-2023","47","270.66","0.00","6382.797","-","0.000"
"USEP","07-Oct-2023","48","273.10","0.00","6285.206","-","0.000"
"USEP","08-Oct-2023","1","221.52","0.00","6165.340","-","0.000"
"USEP","08-Oct-2023","2","202.48","0.00","6031.150","-","0.000"
"USEP","08-Oct-2023","3","201.77","0.00","5927.292","-","0.000"
"USEP","08-Oct-2023","4","200.07","0.00","5853.452","-","0.000"
"USEP","08-Oct-2023","5","198.21","0.00","5818.538","-","0.000"
"USEP","08-Oct-2023","6","189.85","0.00","5756.254","-","0.000"
"USEP","08-Oct-2023","7","183.47","0.00","5708.547","-","0.000"
"USEP","08-Oct-2023","8","173.02","0.00","5657.172","-","0.000"
"USEP","08-Oct-2023","9","155.59","0.00","5623.187","-","0.000"
"USEP","08-Oct-2023","10","155.69","0.00","5638.614","-","0.000"
"USEP","08-Oct-2023","11","163.35","0.00","5668.832","-","0.000"
"USEP","08-Oct-2023","12","173.02","0.00","5712.066","-","0.000"
"USEP","08-Oct-2023","13","183.48","0.00","5783.022","-","0.000"
"USEP","08-Oct-2023","14","173.04","0.00","5821.192","-","0.000"
"USEP","08-Oct-2023","15","152.58","0.00","5823.145","-","0.000"
"USEP","08-Oct-2023","16","144.36","0.00","5853.651","-","0.000"
"USEP","08-Oct-2023","17","162.79","0.00","5907.735","-","0.000"
"USEP","08-Oct-2023","18","152.06","0.00","5931.491","-","0.000"
"USEP","08-Oct-2023","19","141.99","0.00","5947.191","-","0.000"
"USEP","08-Oct-2023","20","135.77","0.00","5976.743","-","0.000"
"USEP","08-Oct-2023","21","133.58","0.00","5962.340","-","0.000"
"USEP","08-Oct-2023","22","118.79","0.00","5877.144","-","0.000"
"USEP","08-Oct-2023","23","106.32","0.00","5791.178","-","0.000"
"USEP","08-Oct-2023","24","104.14","0.00","5770.140","-","0.000"
"USEP","08-Oct-2023","25","106.47","0.00","5817.544","-","0.000"
"USEP","08-Oct-2023","26","124.09","0.00","5893.322","-","0.000"
"USEP","08-Oct-2023","27","126.83","0.00","5921.959","-","0.000"
"USEP","08-Oct-2023","28","126.84","0.00","5925.373","-","0.000"
"USEP","08-Oct-2023","29","133.57","0.00","5959.795","-","0.000"
"USEP","08-Oct-2023","30","135.49","0.00","6005.231","-","0.000"
"USEP","08-Oct-2023","31","135.60","0.00","6053.952","-","0.000"
"USEP","08-Oct-2023","32","135.79","0.00","6085.054","-","0.000"
"USEP","08-Oct-2023","33","137.35","0.00","6159.073","-","0.000"
"USEP","08-Oct-2023","34","148.18","0.00","6236.321","-","0.000"
"USEP","08-Oct-2023","35","163.40","0.00","6323.793","-","0.000"
"USEP","08-Oct-2023","36","168.39","0.00","6360.333","-","0.000"
"USEP","08-Oct-2023","37","201.91","0.00","6438.595","-","0.000"
"USEP","08-Oct-2023","38","245.42","0.00","6549.923","-","0.000"
"USEP","08-Oct-2023","39","243.17","0.00","6614.896","-","0.000"
"USEP","08-Oct-2023","40","274.29","0.00","6676.350","-","0.000"
"USEP","08-Oct-2023","41","292.48","0.00","6715.946","-","0.000"
"USEP","08-Oct-2023","42","294.50","0.00","6729.733","-","0.000"
"USEP","08-Oct-2023","43","273.33","0.00","6708.720","-","0.000"
"USEP","08-Oct-2023","44","315.53","0.00","6633.012","-","0.000"
"USEP","08-Oct-2023","45","247.07","0.00","6533.552","-","0.000"
"USEP","08-Oct-2023","46","223.09","0.00","6446.930","-","0.000"
"USEP","08-Oct-2023","47","245.46","0.00","6401.892","-","0.000"
"USEP","08-Oct-2023","48","266.28","0.00","6384.328","-","0.000"
"USEP","09-Oct-2023","1","365.48","0.00","6320.424","-","0.000"
"USEP","09-Oct-2023","2","273.00","0.00","6119.134","-","0.000"
